fareamount_double,origin_block_latitude_double,origin_block_longitude_double,destination_block_latitude_double,destination_block_longitude_double,year_integer,month_integer,dow_integer,hour_integer
3.25,38.825089,-77.001446,38.862288,-76.994873,2017,12,4,10
3.25,38.839716,-76.99845,38.839716,-76.99845,2015,1,2,19
3.25,38.840111,-77.006831,38.850442,-77.008007,2017,8,2,16
3.25,38.849203,-76.98174,38.849203,-76.98174,2016,2,4,16
3.25,38.875684,-77.000546,38.875684,-77.000546,2018,6,6,19
3.25,38.876442,-76.930466,38.863891,-76.947149,2018,5,4,6
3.25,38.877004,-77.004353,38.881263,-77.005889,2018,11,5,4
3.25,38.877436,-77.019892,38.877436,-77.019892,2016,9,6,23
3.25,38.877597,-77.037009,38.884848,-77.019558,2017,9,6,13
3.25,38.877845,-76.963113,38.877845,-76.963113,2017,9,6,9
3.25,38.877969,-77.00352,38.877969,-77.00352,2015,7,7,18
3.25,38.878307,-76.995324,38.878307,-76.995324,2016,2,3,0
3.25,38.878473,-77.022917,38.878473,-77.022917,2017,6,7,1
3.25,38.880281,-77.015187,38.880281,-77.015187,2018,6,5,21
3.25,38.880575,-76.985203,38.880575,-76.985203,2016,7,6,10
3.25,38.883234,-77.004705,38.883234,-77.004705,2015,5,2,23
3.25,38.884205,-77.029111,38.884205,-77.029111,2017,2,5,14
3.25,38.884205,-77.029111,38.884205,-77.029111,2018,9,6,19
3.25,38.884273,-77.00589,38.884273,-77.00589,2016,7,5,19
3.25,38.886039,-77.018731,38.886039,-77.018731,2015,1,5,4
3.25,38.886039,-77.018731,38.886039,-77.018731,2018,1,2,2
3.25,38.88604,-76.997319,38.88604,-76.997319,2018,1,4,23
3.25,38.886168,-77.033693,38.895895,-77.006329,2015,3,6,17
3.25,38.886251,-76.998991,38.896727,-77.031967,2015,7,4,8
3.25,38.88737,-77.002764,38.894787,-76.997549,2017,5,5,18
3.25,38.887564,-77.023953,38.894993,-77.002985,2015,4,2,18
3.25,38.887799,-77.04875,38.887566,-77.027053,2015,11,1,16
3.25,38.888712,-77.005927,38.888712,-77.005927,2015,2,7,12
3.25,38.888785,-76.954945,38.888785,-76.954945,2018,8,1,19
3.25,38.890279,-77.032498,38.897337,-77.010466,2016,6,1,10
3.25,38.8905,-77.025048,38.8905,-77.025048,2017,7,2,16
3.25,38.891056,-77.033612,38.897347,-77.032804,2017,1,7,22
3.25,38.891353,-77.017558,38.903875,-77.025983,2017,5,7,13
3.25,38.891385,-77.004952,38.893586,-77.021915,2017,9,7,16
3.25,38.892086,-77.013409,38.892086,-77.013409,2017,4,7,16
3.25,38.892088,-77.030051,38.917395,-77.044072,2016,8,2,18
3.25,38.892101,-77.045807,38.897353,-77.040589,2015,2,6,12
3.25,38.892407,-76.990245,38.892407,-76.990245,2018,1,7,20
3.25,38.892576,-77.019242,38.887585,-77.00861,2017,9,7,13
3.25,38.892576,-77.019242,38.89416,-77.024989,2017,3,4,14
3.25,38.893038,-77.020904,38.895506,-77.030196,2016,9,1,13
3.25,38.893552,-77.02813,38.893552,-77.02813,2017,2,2,22
3.25,38.893586,-77.021915,38.89479,-77.01022,2015,7,1,9
3.25,38.893784,-77.033647,38.91541,-77.046303,2017,10,4,21
3.25,38.89379,-77.012491,38.887591,-77.010609,2017,5,2,9
3.25,38.894878,-77.027575,38.910753,-77.036519,2017,4,7,18
3.25,38.894878,-77.027575,38.941562,-77.065143,2016,11,7,10
3.25,38.894993,-77.002985,38.88605,-77.014429,2016,11,6,16
3.25,38.895433,-77.027047,38.895433,-77.027047,2015,5,3,10
3.25,38.895433,-77.027047,38.895433,-77.027047,2018,12,4,16
3.25,38.895465,-77.022963,38.896124,-77.012912,2017,12,7,18
3.25,38.895465,-77.022963,38.899066,-77.027035,2015,8,4,14
3.25,38.896039,-77.007142,38.896039,-77.007142,2017,2,2,17
3.25,38.896039,-77.007142,38.904526,-77.032614,2016,2,3,21
3.25,38.896086,-76.957502,38.896086,-76.957502,2017,11,4,15
3.25,38.896086,-76.957502,38.896086,-76.957502,2018,10,3,18
3.25,38.896305,-76.956152,38.896305,-76.956152,2016,9,3,16
3.25,38.89632,-77.032789,38.89632,-77.032789,2017,2,2,7
3.25,38.896386,-77.00835,38.896386,-77.00835,2018,2,6,15
3.25,38.896386,-77.00835,38.900342,-77.021915,2016,1,1,21
3.25,38.896672,-77.050118,38.896672,-77.050118,2015,9,2,15
3.25,38.896723,-76.95888,38.896723,-76.95888,2016,2,1,13
3.25,38.896737,-77.028086,38.910017,-77.031953,2015,8,2,12
3.25,38.89674,-77.027034,38.905659,-77.057035,2017,1,5,20
3.25,38.897204,-77.008388,38.896386,-77.00835,2016,3,6,19
3.25,38.897204,-77.008388,38.897204,-77.008388,2016,2,6,0
3.25,38.897204,-77.008388,38.897204,-77.008388,2017,11,6,14
3.25,38.897204,-77.008388,38.897204,-77.008388,2019,1,4,20
3.25,38.897204,-77.008388,38.897204,-77.008388,2019,4,5,17
3.25,38.897329,-77.017555,38.897329,-77.017555,2015,12,7,14
3.25,38.897337,-77.010466,38.904515,-77.031949,2016,5,5,5
3.25,38.897341,-77.004141,38.897341,-77.004141,2016,3,3,10
3.25,38.897344,-77.024969,38.897344,-77.024969,2016,1,3,19
3.25,38.897348,-77.026509,38.897348,-77.026509,2017,2,7,14
3.25,38.89783,-77.033645,38.905438,-77.032342,2015,11,5,18
3.25,38.897838,-77.044911,38.900773,-77.03655,2016,8,6,17
3.25,38.897861,-77.021917,38.897861,-77.021917,2018,7,1,3
3.25,38.897867,-77.02396,38.887591,-77.010609,2015,7,3,14
3.25,38.897896,-77.007533,38.897896,-77.007533,2018,7,5,15
3.25,38.897896,-77.007533,38.897896,-77.007533,2018,9,3,1
3.25,38.898123,-77.000574,38.897334,-77.000041,2019,5,4,18
3.25,38.898315,-77.026514,38.898313,-77.024948,2015,11,5,13
3.25,38.898858,-77.053891,38.888945,-77.03949,2015,7,4,12
3.25,38.899061,-77.029622,38.892016,-77.015849,2016,5,3,17
3.25,38.899063,-77.028082,38.886713,-76.996191,2015,4,4,18
3.25,38.899072,-77.013044,38.904692,-77.034573,2017,2,1,17
3.25,38.899072,-77.013044,38.907651,-77.045301,2017,5,6,11
3.25,38.89913,-77.021917,38.935884,-77.03645,2016,9,5,23
3.25,38.89913,-77.021917,38.955792,-77.024008,2015,6,5,0
3.25,38.899206,-77.040581,38.892011,-77.005061,2016,3,5,9
3.25,38.899431,-77.018929,38.898051,-77.012127,2015,5,2,8
3.25,38.899615,-76.980387,38.905438,-77.032342,2018,5,6,21
3.25,38.899811,-77.019421,38.898684,-77.018928,2016,3,1,19
3.25,38.899812,-77.020912,38.96569,-77.009041,2015,1,5,23
3.25,38.899816,-77.027558,38.897899,-77.010123,2017,8,4,19
3.25,38.899816,-77.027558,38.899816,-77.027558,2018,10,2,1
3.25,38.900202,-76.994359,38.900202,-76.994359,2015,10,7,2
3.25,38.900207,-77.010619,38.892775,-76.982929,2015,1,1,17
3.25,38.900207,-77.005551,38.900207,-77.005551,2017,8,4,18
